tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,urls,desc
tt0022064,movie,Lebbra bianca,Lebbra bianca,0,1951.0,\N,100,Drama,https://www.imdb.com/title/tt0022064,"Directed by Enzo Trapani.  With Ermanno Randi, Lois Maxwell, Amedeo Nazzari, Juan de Landa. A police inspector teams with an ex serviceman in order to break a ring of drug pushers after WW2. The veteran has had his sister killed by the drug traffickers and he himself is in serious danger."
tt0025557,movie,El negro que tenía el alma blanca,El negro que tenía el alma blanca,0,1951.0,\N,87,"Drama,Musical",https://www.imdb.com/title/tt0025557,"Directed by Hugo del Carril.  With Hugo del Carril, María Rosa Salgado, Antonio Casal, Félix Fernández."
tt0037483,movie,Augen der Liebe,Augen der Liebe,0,1951.0,\N,99,Drama,https://www.imdb.com/title/tt0037483,"Directed by Alfred Braun.  With Käthe Gold, René Deltgen, Paul Wegener, Hans Schlenck."
tt0041320,movie,Duello senza onore,Duello senza onore,0,1951.0,\N,105,Drama,https://www.imdb.com/title/tt0041320,"Directed by Camillo Mastrocinque.  With Massimo Girotti, Annette Bach, Roldano Lupi, Constance Dowling. Bianca, a rich heiress, being an orphan, lives in her palace with her guardian uncle and cousin Olga."
tt0041357,movie,Fiamme sulla laguna,Fiamme sulla laguna,0,1951.0,\N,82,Drama,https://www.imdb.com/title/tt0041357,"Directed by Giuseppe Maria Scotese.  With Lea Padovani, Leonardo Cortese, Sandro Ruffini, Lauro Gazzolo."
tt0041427,movie,The Great Force,Velikaya sila,0,1951.0,\N,106,Drama,https://www.imdb.com/title/tt0041427,"Directed by Fridrikh Ermler.  With Boris Babochkin, Viktor Khokhryakov, Galina Inyutina, Yuriy Tolubeev."
tt0041814,movie,La rivale dell'imperatrice,La rivale dell'imperatrice,0,1951.0,\N,95,Drama,https://www.imdb.com/title/tt0041814,"Directed by Jacopo Comin, Sidney Salkow.  With Richard Greene, Valentina Cortese, Greta Gynt, Massimo Serato."
tt0041921,movie,A Tale of Five Women,A Tale of Five Cities,0,1951.0,\N,86,"Drama,Mystery,Romance",https://www.imdb.com/title/tt0041921,"Directed by Montgomery Tully, Romolo Marcellini, Emil E. Reinert.  With Bonar Colleano, Barbara Kelly, Anne Vernon, Karin Himboldt. An Englishman has been working in the US so long he now speaks with an American accent. He is drafted into the British Army during WWII but is injured and loses his memory. Because he talks like an American, the doctors repatriate him to the States where he is housed with a New York family. After the war they all travel throughout Europe, searching for the women he still remembers in the hope of ..."
tt0041979,movie,Double Cross,Il tradimento,0,1951.0,\N,85,"Crime,Drama",https://www.imdb.com/title/tt0041979,"Directed by Riccardo Freda.  With Amedeo Nazzari, Gianna Maria Canale, Armando Francioli, Arnoldo Foà. Pietro, an honest businessman, is wrongly accused of the murder of his business associate and jailed. Actually the man is alive and has set him up to avoid bankruptcy. Pietro's life is shattered of course and when after many years he is released from prison, he seeks revenge."
tt0042196,movie,L'amore di Norma,L'amore di Norma,0,1951.0,\N,89,"Drama,Musical",https://www.imdb.com/title/tt0042196,"Directed by Giuseppe De Martino.  With Lori Landi, Gino Mattera, Jacqueline Pierreux, Afro Poli."
tt0042215,movie,¡Ay amor... cómo me has puesto!,¡Ay amor... cómo me has puesto!,0,1951.0,\N,85,"Comedy,Drama,Romance",https://www.imdb.com/title/tt0042215,"Directed by Gilberto Martínez Solares.  With Germán Valdés, Rebeca Iturbide, Marcelo Chávez, Famie Kaufman. A low-class baker accidentally gets to know an attractive but bitter fiancée. By getting her snobby, dead-pan family to spend some time with his scumbag friends, he changes their lives, while at the time stealing the girl's heart."
tt0042221,movie,Under the Skies of the Asturias,Bajo el cielo de Asturias,0,1951.0,\N,79,Drama,https://www.imdb.com/title/tt0042221,"Directed by Gonzalo Delgrás.  With Isabel de Castro, Augusto Ordóñez, Luis Pérez de León, José Luis González."
tt0042222,movie,Balarrasa,Balarrasa,0,1951.0,\N,90,Drama,https://www.imdb.com/title/tt0042222,"Directed by José Antonio Nieves Conde.  With Fernando Fernán Gómez, María Rosa Salgado, Dina Sten, Luis Prendes. Javier is used to make the best of his military life. When a companion is killed in his place, he makes up his mind and enters religious life. Reencountering his rich and spoiled family will show him that not all the battles were fought during the war."
tt0042227,movie,Barbe-Bleue,Barbe-Bleue,0,1951.0,\N,99,Comedy,https://www.imdb.com/title/tt0042227,"Directed by Christian-Jaque.  With Cécile Aubry, Pierre Brasseur, Jean Debucourt, Robert Arnoux. What to do when you are nicknamed Bluebeard and you have lost your your sixth wife? Marry a seventh one of course! This time around, Count de Salfère has chosen young Aline, the innkeeper's daughter. So much the worse if the belle already has a lover in the person of Giglio, little does it matter that the villagers accuse Bluebeard of having murdered his former wives, the proud papa says yes to ..."
tt0042238,movie,Bellezze in bicicletta,Bellezze in bicicletta,0,1951.0,\N,91,Comedy,https://www.imdb.com/title/tt0042238,"Directed by Carlo Campogalliani.  With Silvana Pampanini, Delia Scala, Franca Marzi, Peppino De Filippo. Two chorus girls leave Milan to get to the famous Totò's theatre company. Unfortunately the bus they are on breaks down and they ask for a lift. The driver gets, however, too fresh with the two girls and they decide to continue the journey with any means of transport, bikes included."
tt0042241,movie,Bernard and the Lion,Bertrand coeur de lion,0,1951.0,\N,99,Comedy,https://www.imdb.com/title/tt0042241,"Directed by Robert Dhéry.  With Robert Dhéry, Gérard Calvi, Roger Saget, Robert Destain."
tt0042246,movie,Bibi Fricotin,Bibi Fricotin,0,1951.0,\N,89,Comedy,https://www.imdb.com/title/tt0042246,"Directed by Marcel Blistène.  With Maurice Baquet, Colette Darfeuil, Alexandre Rignault, Yves Robert. Bibi Fricotin is looking for the Z trunk to restore to Catherine the heritage of her ancestors."
tt0042254,movie,Il bivio,Il bivio,0,1951.0,\N,100,"Crime,Drama",https://www.imdb.com/title/tt0042254,"Directed by Fernando Cerchio.  With Raf Vallone, Charles Vanel, Claudine Dupuis, Saro Urzì. After the war, Aldo and his men became gangster. But now the times are changing and Aldo decides to became a policeman to help better his men in crime. He meets Giovanna and falls for her. But he begins liking his new job and after their first robbery, Aldo tries to leave his old accomplices..."
tt0042257,movie,Blackmailed,Blackmailed,0,1951.0,\N,85,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0042257,"Directed by Marc Allégret.  With Mai Zetterling, Dirk Bogarde, Fay Compton, Robert Flemyng. Mrs. Christopher (Fay Compton), a kindly volunteer worker at a large hospital, does a favor for a patient by delivering a sum of money to Mr. Sine (James Robertson Justice). When she discovers he is a blackmailer, she threatens to expose him, and a struggle ensues in which she kills him. Her willingness to take the law into her own hands has a disastrous effect on former victims of the ..."
tt0042288,movie,Buckaroo Sheriff of Texas,Buckaroo Sheriff of Texas,0,1951.0,\N,60,Western,https://www.imdb.com/title/tt0042288,"Directed by Philip Ford.  With Michael Chapin, Eilene Janssen, James Bell, Hugh O'Brian. At the end of the Civil War, Sam White returns home to his ranch in the Texas ranch -The Panhandle - to find it in the hands of a gang of outlaws. The gang is led by Sam's foreman, Jim Tulane, who because of unsettled conditions throughout the state, has been able to use the ranch as a base for his outlaw empire. The ranch comprises an entire county and Sam had given Tuland power-of-attorney to ..."
tt0042297,movie,Il caimano del Piave,Il caimano del Piave,0,1951.0,\N,100,"Drama,War",https://www.imdb.com/title/tt0042297,"Directed by Giorgio Bianchi.  With Gino Cervi, Milly Vitale, Frank Latimore, Francesco Golisano. It is 1917, the period of the First World War when Italy is fighting Austria-Hungary. Lucilla di Torrebruna leaves high school and returns to her father, a colonel in the cavalry, who lives at San Donà di Piave. He tells her that his next wife is going to be Helène, a foreign lady. Lucilla takes the news calmly, pleased that her father has found happiness, although she receives a somewhat cold ..."
tt0042305,movie,Canzone di primavera,Canzone di primavera,0,1951.0,\N,100,Drama,https://www.imdb.com/title/tt0042305,"Directed by Mario Costa.  With Leonardo Cortese, Delia Scala, Tamara Lees, Claudio Villa."
